frame,time_s,active_notes,events,audio_active,rms_dbfs,rms_threshold,rms_growth,spectral_flux,onset_detector_score,top_frame,top_onset,inference_ms,pipeline_ms,queue_depth
1756,11.279092970521543,67,,1,-41.19530821510236,0.003237655062603202,0.00026526456078707246,0.015539406072894463,8.4,67:0.94985 66:0.47972 65:0.15070 64:0.14473 68:0.07657 63:0.02627,66:0.25814 64:0.25175 65:0.22782 67:0.19531 68:0.07583 76:0.01555,3.118499999999358,8.628900000001494,1
1757,11.284897959183674,67,,1,-41.363149605393104,0.003237655062603202,0.0,0.024528320833196966,4.5,67:0.94729 66:0.43765 65:0.15764 64:0.14377 68:0.07014 63:0.02269,66:0.24197 64:0.22513 65:0.21729 67:0.18263 68:0.07285 76:0.01735,3.159699999997656,13.106999999997981,0
1758,11.290702947845805,67,,1,-41.232070825285724,0.003237655062603202,0.00012996957364318912,0.010420712453448853,5.246064834628656,67:0.94531 66:0.47665 65:0.16981 64:0.16176 68:0.06248 63:0.02650,64:0.26283 66:0.26083 65:0.22366 67:0.17754 68:0.06728 76:0.02110,4.1308000000022105,6.219000000001529,2
1759,11.296507936507936,67,,1,-40.77385238531284,0.003237655062603202,0.000470067834371278,0.029622807800614503,9.475050760111841,67:0.95818 66:0.42636 64:0.13920 65:0.13027 68:0.06381 55:0.03308,66:0.23661 64:0.23433 67:0.19475 65:0.18652 68:0.06692 76:0.01689,4.053000000002527,11.643800000001647,1
1760,11.302312925170067,67,,1,-41.79934791077555,0.003237655062603202,0.0,0.01876264980139724,4.5,67:0.95238 66:0.42930 64:0.17067 65:0.15601 68:0.05642 55:0.03619,64:0.24624 66:0.23347 65:0.19600 67:0.17399 68:0.05829 76:0.02085,2.105600000000152,15.264300000001896,0
1761,11.3081179138322,67,,1,-41.788851689143314,0.003237655062603202,9.829099283880857e-06,0.00681767042639993,4.5,67:0.95320 66:0.44613 64:0.16927 65:0.15446 68:0.06424 55:0.03224,64:0.24973 66:0.24502 65:0.20110 67:0.18200 68:0.06286 76:0.02232,5.160799999998744,7.746099999998535,2
1762,11.313922902494332,67,,1,-41.84759435531687,0.003237655062603202,0.0,0.019061761193237322,4.5,67:0.95628 66:0.42542 64:0.15489 65:0.12786 68:0.06162 55:0.04102,64:0.23905 66:0.22354 67:0.17967 65:0.16938 68:0.05764 76:0.01597,4.279099999997982,14.081999999998374,1
1763,11.319727891156463,67,,1,-40.71043909370766,0.003237655062603202,0.0011307451572076695,0.015992243424289704,8.4,67:0.95584 66:0.40910 64:0.18126 65:0.13583 55:0.04897 68:0.04546,64:0.25214 66:0.22287 65:0.17797 67:0.17258 68:0.04958 76:0.02280,3.482899999998068,19.04920000000132,3
1764,11.325532879818594,67,,1,-42.06394944780407,0.003237655062603202,0.0,0.013913658783543599,4.5,67:0.95862 66:0.45135 64:0.19415 65:0.12756 68:0.05023 55:0.04267,64:0.27324 66:0.24823 65:0.18244 67:0.17998 68:0.05404 76:0.02434,2.7565000000002726,13.785199999997388,2
1765,11.331337868480725,67,,1,-42.02787609634224,0.003237655062603202,3.281533632275811e-05,0.010867593884657065,4.5,67:0.95909 66:0.41367 64:0.17645 65:0.11387 68:0.05025 55:0.04765,64:0.24287 66:0.22109 67:0.17517 65:0.16119 68:0.05028 76:0.01713,3.7319000000017866,18.5933000000027,1
1766,11.337142857142856,67,,1,-41.42054804599812,0.003237655062603202,0.0005734385625533155,0.030473214854437776,9.67265847049407,67:0.95470 66:0.43076 64:0.19918 65:0.12551 55:0.05586 45:0.05114,64:0.26000 66:0.23526 65:0.17169 67:0.16655 68:0.04753 76:0.02408,3.673400000000271,23.849500000000745,0
1767,11.34294784580499,67,,1,-41.31985285400699,0.003237655062603202,9.901177284938473e-05,0.011915778847304877,4.5,67:0.95974 66:0.47759 64:0.20166 65:0.11684 45:0.05037 55:0.04857,66:0.26664 64:0.26495 67:0.18191 65:0.17669 68:0.05047 76:0.02804,3.226100000002674,8.539400000000086,2
1768,11.34875283446712,67,,1,-42.304337829500184,0.003237655062603202,0.0,0.022897190898812227,4.5,67:0.96048 66:0.42432 64:0.19117 65:0.10148 55:0.05979 45:0.05149,64:0.24403 66:0.23175 67:0.17159 65:0.15367 68:0.04525 76:0.02055,3.452799999998035,13.273399999999214,1
1769,11.354557823129252,67,,1,-42.1232576676545,0.003237655062603202,0.00016157514127986342,0.010205824267077298,6.063921036490939,67:0.95564 66:0.49480 64:0.22382 65:0.12692 45:0.06461 55:0.05584,64:0.26514 66:0.26460 65:0.17877 67:0.16445 68:0.04256 76:0.02895,2.9605999999979815,17.585600000000312,0
1770,11.360362811791383,67,,1,-41.88810769192574,0.003237655062603202,0.00021491155176637383,0.019788913679721593,7.444105521798134,67:0.95711 66:0.49636 64:0.20985 65:0.11431 45:0.05762 55:0.04869,66:0.27949 64:0.27009 65:0.18931 67:0.18418 68:0.05696 76:0.02644,3.0834999999989066,4.923600000001471,2
1771,11.366167800453514,67,,1,-41.355519169164516,0.003237655062603202,0.0005088090846161186,0.0118682797328684,8.4,67:0.95636 66:0.49215 64:0.20499 65:0.11042 45:0.06444 55:0.06013,66:0.27075 64:0.25128 67:0.18322 65:0.17215 68:0.04973 76:0.02562,3.112700000002633,9.618400000000804,1
1772,11.371972789115647,67,,1,-42.20223208928157,0.003237655062603202,0.0,0.021432692719755723,4.5,67:0.95279 66:0.55476 64:0.22582 65:0.11480 45:0.07980 55:0.06257,66:0.29742 64:0.27733 65:0.18036 67:0.17993 68:0.04847 76:0.03326,3.6431000000014535,15.050800000000919,0
1773,11.377777777777778,67,,1,-42.61934036474712,0.003237655062603202,0.0,0.015496453444775779,4.5,67:0.94910 66:0.60207 64:0.24114 65:0.12433 45:0.08279 63:0.05491,66:0.32781 64:0.29743 65:0.20963 67:0.19067 68:0.05695 76:0.03144,3.578499999999707,5.019000000000773,2
1774,11.38358276643991,67,,1,-42.19930193176307,0.003237655062603202,0.00036648059355308404,0.014389531558614978,8.4,67:0.94331 66:0.58935 64:0.22638 65:0.12519 45:0.10075 55:0.06163,66:0.32727 64:0.26824 65:0.20272 67:0.18807 68:0.05715 76:0.03252,5.1597000000001,12.294899999997,1
1775,11.38938775510204,67,,1,-41.87965492476009,0.003237655062603202,0.0002910093349209452,0.013668379967640856,8.4,67:0.94571 66:0.63546 64:0.24168 65:0.12354 45:0.11646 55:0.06720,66:0.34401 64:0.27786 65:0.19356 67:0.18963 68:0.05153 76:0.04253,6.653700000001095,22.528000000001214,3
1776,11.395192743764172,67,,1,-42.268539188872055,0.003237655062603202,0.0,0.011188016837838132,4.5,67:0.94968 66:0.66003 64:0.24026 65:0.12170 45:0.11192 55:0.06532,66:0.38407 64:0.29379 67:0.21893 65:0.21054 68:0.06308 76:0.04418,4.76499999999902,19.407400000002184,2
1777,11.406802721088436,67,,1,-42.447933528545924,0.003237655062603202,0.00015307542318865764,0.010946224815908467,5.8439741197044395,67:0.94357 66:0.69211 64:0.25593 65:0.14604 45:0.13740 50:0.08421,66:0.40599 64:0.28803 65:0.23046 67:0.22047 68:0.06328 76:0.05496,3.1824000000000296,29.26180000000045,3
1778,11.412607709750567,67,,1,-42.58900545567026,0.003237655062603202,0.0,0.02237567954412751,4.5,67:0.93908 66:0.71985 64:0.26847 65:0.15456 45:0.14571 50:0.10893,66:0.42496 64:0.30805 65:0.24509 67:0.22791 68:0.06575 76:0.05060,2.9409999999998604,14.576300000001652,2
1779,11.418412698412698,67,,1,-42.08078192093281,0.003237655062603202,0.0004472576021198266,0.012223196668389273,8.4,67:0.93913 66:0.71685 64:0.26496 45:0.16463 65:0.15265 50:0.13088,66:0.44047 64:0.29773 67:0.24191 65:0.23673 68:0.06382 76:0.06242,2.9602000000004125,19.27209999999846,1
1780,11.42421768707483,67,,1,-43.22462892698254,0.003237655062603202,0.0,0.026999209846821692,4.965409550903056,67:0.93840 66:0.75133 64:0.28425 45:0.17224 65:0.15710 50:0.14369,66:0.44969 64:0.30745 65:0.24211 67:0.23855 76:0.06865 68:0.06688,3.4307000000026733,25.338000000001415,3
1781,11.43002267573696,67,,1,-42.92711394186103,0.003237655062603202,0.0002403932100047421,0.010948405285388473,8.103493527846855,67:0.93167 66:0.77342 64:0.29582 65:0.17743 45:0.17540 50:0.17471,66:0.47419 64:0.32660 65:0.26547 67:0.24929 69:0.06696 68:0.06695,3.215300000000809,10.027399999998465,2
1782,11.441632653061225,67,,1,-42.194173082064,0.003237655062603202,0.00040650898001276265,0.010480390504780755,8.4,67:0.93016 66:0.79100 64:0.28973 45:0.20228 50:0.19804 65:0.17052,66:0.49864 64:0.30840 67:0.26546 65:0.25144 69:0.08609 76:0.08024,2.5018000000009977,14.169700000000063,3
