frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms,queue_delay_ms,queue_depth
143,0.8359183673469388,0,4096,0,1.0,-60.66505289892337,,,,,,,,,0.8046000000021536,2.443599999999435,0
144,0.8417233560090703,0,4096,0,1.0,-63.34603988440393,,,,,,,,,1.529699999998968,1.2684999999983404,0
145,0.8475283446712019,0,4096,0,1.0,-58.945530879873154,,,,,,,,,0.8495000000010577,2.828999999998416,0
146,0.8533333333333334,0,4096,0,1.0,-57.93997417452441,,,,,,,,,0.8010000000027162,3.727000000001368,0
147,0.8591383219954648,0,4096,0,1.0,-59.11671987518616,,,,,,,,,1.1790000000004852,3.0469999999986896,0
148,0.8649433106575963,0,4096,0,1.0,-61.406551380743124,,,,,,,,,0.9301000000014881,4.198600000002273,0
149,0.8707482993197279,0,4096,0,1.0,-60.175255859657575,,,,,,,,,0.7968999999974358,5.191499999998683,0
150,0.8765532879818594,0,4096,0,1.0,-56.25353906110348,,,,,,,,,2.4491999999973757,0.8238000000027057,0
151,0.8823582766439909,0,4096,0,1.0,-52.05860313228409,,,,,,,,,1.4126000000018735,3.329900000000663,0
152,0.8881632653061224,0,4096,0,1.0,-48.218544350795284,,,,,,,,,1.4241999999988764,4.845299999999497,0
153,0.893968253968254,0,4096,0,1.0,-47.59570927118018,,,,,,,,,3.6130999999990365,2.6748999999988143,0
154,0.8997732426303855,0,4096,0,1.0,-45.435726990097564,,,,,,,,,1.8977000000006683,6.433499999999981,0
155,0.905578231292517,0,4096,0,1.0,-44.50848793373564,,,,,,,,,0.9517000000016651,8.422899999999345,0
156,0.9113832199546485,0,4096,0,1.0,-46.158412325076235,,,,,,,,,1.275900000003105,0.3086000000003253,0
157,0.9171882086167801,0,4096,0,1.0,-45.39802506595443,,,,,,,,,0.797499999997342,1.5490999999983046,0
158,0.9229931972789116,0,4096,0,1.0,-46.817541115730364,,,,,,,,,0.7334000000014385,2.3739000000020383,0
159,0.9287981859410431,0,4096,0,1.0,-43.92049892999861,,,,,,,,,1.1837000000021192,0.3070000000029438,0
160,0.9346031746031747,0,4096,0,1.0,-42.97880306450109,,,,,,,,,0.9410999999985847,1.4889999999994075,0
161,0.9404081632653061,0,4096,0,1.0,-42.02329656689536,,,,,,,,,0.8189999999999031,2.4727999999996086,0
162,0.9462131519274376,0,4096,0,1.0,-40.61811227410217,,,,,,,,,2.05010000000172,0.2940999999978544,0
163,0.9520181405895691,0,4096,0,1.0,-43.02636682916013,,,,,,,,,1.575900000002406,2.363599999998911,0
164,0.9578231292517007,0,4096,0,1.0,-43.618936484954496,,,,,,,,,1.8915999999968847,4.035600000001693,0
165,0.9636281179138322,0,4096,0,1.0,-43.02278691164411,,,,,,,,,1.7487000000002695,0.14619999999965216,0
166,0.9694331065759637,0,4096,0,1.0,-47.69278774635112,,,,,,,,,0.996399999998232,1.4530000000014809,0
167,0.9752380952380952,0,4096,0,1.0,-44.75634944939009,,,,,,,,,0.7926000000004763,2.4853999999976395,0
168,0.9810430839002268,0,4096,0,1.0,-50.33430671407547,,,,,,,,,1.1983999999998218,0.2882999999975766,0
169,0.9868480725623583,0,4096,0,1.0,-52.78041696099112,,,,,,,,,0.9134000000017295,1.48370000000142,0
170,0.9926530612244898,0,4096,0,1.0,-55.52017149958017,,,,,,,,,0.8456000000016672,2.4333999999974765,0
171,0.9984580498866213,1,4096,0,1.0,-55.1282812226529,0.0070454771630465984,66,0,-1,,0,0,8.115399999997663,12.574400000001873,35.89470000000006,1
172,1.0042630385487528,1,512,1,1.0,-58.63845422341599,0.08056190609931946,59,0,-1,,0,0,4.421100000001843,6.731200000000825,36.29319999999936,1
173,1.0100680272108844,1,512,0,1.0,-61.543025780234274,0.05278392136096954,59,0,-1,,0,0,4.916699999998997,7.665199999998151,36.298200000000946,1
174,1.0158730158730158,1,512,0,1.0,-62.719546557838456,0.05188047140836716,59,0,-1,,0,0,5.001999999997508,7.1746000000025845,28.89080000000277,1
175,1.0216780045351475,1,1024,0,1.0,-66.87304552416975,0.023959210142493248,59,0,-1,,0,0,4.382499999998402,5.750400000000155,28.72599999999892,1
176,1.0274829931972789,1,1024,0,1.0,-61.34265430558124,0.02480725198984146,59,0,-1,,0,0,7.039499999997645,8.408000000002858,45.831799999998424,2
177,1.0332879818594105,1,2048,0,1.0,-60.89473317482958,0.015147315338253975,59,0,-1,,0,0,8.916299999999211,11.063699999997567,20.404200000001538,2
